Country;Bin Year;RRInc_min;Rrinc_max;Pop;Rrinc_diff;Rrinc_diff_p;Pop_diff_p
Poland;2008;1340;11799;38;10459;1.001244496;1
Portugal;1988;1722;14080;10;12358;1;1
Portugal;1993;2223;21586;10;19363;1.566839294;1
Portugal;1998;1422;18751;10;17329;0.894954294;1
Portugal;2003;2066;25843;10;23777;1.372093023;1
Portugal;2008;2182;23095;11;20913;0.879547462;1.1
Slovak Republic;1988;2803;9365;5;6562;1;1
Slovak Republic;1993;2486;8840;5;6354;0.968302347;1
Slovak Republic;1998;1310;8833;5;7523;1.183978596;1
Slovak Republic;2003;1410;9532;5;8122;1.079622491;1
Slovak Republic;2008;1729;9914;5;8185;1.00775671;1
Slovenia;1988;2762;12548;2;9786;1;1
Slovenia;1993;2647;16323;2;13676;1.397506642;1
Slovenia;1998;3839;33157;2;29318;2.143755484;1
Slovenia;2003;2630;16134;2;13504;0.460604407;1
Slovenia;2008;4468;20390;2;15922;1.179058057;1
Spain;1988;1989;17723;39;15734;1;1
Spain;1993;1606;24049;39;22443;1.426401424;1
Spain;1998;2816;29216;40;26400;1.176313327;1.025641026
Spain;2003;2303;26695;42;24392;0.923939394;1.05
Spain;2008;2966;24857;46;21891;0.897466382;1.095238095
Thailand;1988;343;4519;55;4176;1;1
Thailand;1993;457;6304;59;5847;1.400143678;1.072727273
Thailand;1998;526;6344;62;5818;0.995040192;1.050847458
Thailand;2003;546;6851;65;6305;1.083705741;1.048387097
Thailand;2008;705;8034;68;7329;1.162410785;1.046153846
Turkey;1988;615;9155;52;8540;1;1
Turkey;1993;555;7890;57;7335;0.858899297;1.096153846
Turkey;1998;751;10654;62;9903;1.350102249;1.087719298
Turkey;2003;558;8961;66;8403;0.848530748;1.064516129
Turkey;2008;773;10759;71;9986;1.188385101;1.075757576
Uganda;1988;85;1487;16;1402;1;1
Uganda;1993;112;1580;20;1468;1.047075606;1.25
Uganda;1998;127;1871;23;1744;1.188010899;1.15
Uganda;2003;164;2154;27;1990;1.141055046;1.173913043
Uganda;2008;193;2959;31;2766;1.389949749;1.148148148
United Kingdom;1988;1866;22217;57;20351;1;1
United Kingdom;1993;2710;30179;58;27469;1.349761682;1.01754386
United Kingdom;1998;3057;33113;58;30056;1.094178893;1
United Kingdom;2003;3943;49103;60;45160;1.502528613;1.034482759
United Kingdom;2008;5425;52257;61;46832;1.037023915;1.016666667
United States;1988;2636;43279;244;40643;1;1
United States;1993;2746;43930;260;41184;1.013311025;1.06557377
United States;1998;3142;56135;276;52993;1.286737568;1.061538462
United States;2003;3203;60274;290;57071;1.07695356;1.050724638
United States;2008;3283;72925;304;69642;1.220269489;1.048275862
Uruguay;1988;973;16242;3;15269;1;1
Uruguay;1993;883;13020;3;12137;0.794878512;1
Uruguay;1998;1002;19386;3;18384;1.514707094;1
Uruguay;2003;737;14136;3;13399;0.728840296;1
Uruguay;2008;937;18168;3;17231;1.285991492;1
